"crypto","id","usd","usd_24h_change","usd_24h_vol","usd_market_cap","load_date","AVG(s2.score)","row_num","avg_rating"
bitcoin,4134,33520.0,-1.4629479414709379,21058003957.568985,627843419895.097,"2021-07-10 15:00:26",0.476803134411573411480000000000,1,2.71429
bitcoin,4138,33525.0,-1.6756939038969572,21041884409.30855,628581245524.0029,"2021-07-10 15:00:26",0.476803134411573411480000000000,1,2.71429
bitcoin,4142,33535.0,-1.90756131951915,20965460074.983402,628581245524.0029,"2021-07-10 15:00:26",0.476803134411573411480000000000,1,2.71429
bitcoin,4146,33637.0,-1.2121868990331777,20895532390.74399,630952467329.164,"2021-07-10 15:00:26",0.476803134411573411480000000000,1,2.71429
bitcoin,4149,33751.0,-0.6824451263655614,19671579656.694565,633364315990.2804,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4153,33774.0,-0.4850714867919887,19776661928.434246,633286630421.2406,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4160,33810.0,-0.3073822740951281,19765715226.50132,633286630421.2406,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4161,33780.0,-0.44623023429985553,19749995933.822872,633286630421.2406,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4166,33766.0,-0.4874226971581326,19744811278.838882,633243969798.2188,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4170,33751.0,-0.47476801231723226,19735235911.198997,633243969798.2188,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4176,33700.0,-0.5630105202101229,19715557369.430264,631908590368.2207,"2021-07-10 18:27:58",0.478613170298859648231292517007,1,3.4924
bitcoin,4180,33700.0,-0.5630105202101229,19715557369.430264,631908590368.2207,"2021-07-10 19:00:14",0.458331714131843266121495327103,1,3.74419
bitcoin,4181,33694.0,-0.2734987426663384,19374269382.19019,632136168666.8898,"2021-07-10 20:00:15",0.490948388449183093028169014085,1,3.95745
bitcoin,4187,33521.0,-1.0743153378883825,19149262813.82226,628621441156.9827,"2021-07-10 21:00:17",0.482056814958067505588235294118,1,4.44615
bitcoin,4191,33566.0,-0.4727579958491249,19152485646.135174,629471882271.9249,"2021-07-10 22:00:15",0.462297101837865423415730337079,1,4.02041
bitcoin,4193,33678.0,-0.2969081079509566,18813069169.506752,629471882271.9249,"2021-07-10 23:00:15",0.568782587034510119738562091503,1,1.71111
bitcoin,4199,33533.0,-1.0272340313116994,18559044200.000244,629120811790.5446,"2021-07-11 00:00:17",0.484037339617552748688524590164,1,2.62963
bitcoin,4202,33618.0,-0.7309822642998649,18373862816.348446,629754944714.016,"2021-07-11 01:00:15",0.520558649201712542511961722488,1,3.60194
bitcoin,4206,33618.0,-0.7309822642998649,18373862816.348446,629754944714.016,"2021-07-11 02:00:17",0.471481990123667371097560975610,1,2.80769
